[layer_00.down] calls=141 zero_ratio=0.496203 two_zeros_ratio=0.675943
[layer_00.gate] calls=141 zero_ratio=0.000812 two_zeros_ratio=0.000004
[layer_00.k] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_00.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_00.q] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_00.up] calls=141 zero_ratio=0.000812 two_zeros_ratio=0.000004
[layer_00.v] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_01.down] calls=141 zero_ratio=0.502861 two_zeros_ratio=0.685435
[layer_01.gate] calls=141 zero_ratio=0.000760 two_zeros_ratio=0.000004
[layer_01.k] calls=141 zero_ratio=0.000838 two_zeros_ratio=0.000004
[layer_01.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_01.q] calls=141 zero_ratio=0.000838 two_zeros_ratio=0.000004
[layer_01.up] calls=141 zero_ratio=0.000760 two_zeros_ratio=0.000004
[layer_01.v] calls=141 zero_ratio=0.000838 two_zeros_ratio=0.000004
[layer_02.down] calls=141 zero_ratio=0.498684 two_zeros_ratio=0.682240
[layer_02.gate] calls=141 zero_ratio=0.000737 two_zeros_ratio=0.000003
[layer_02.k] calls=141 zero_ratio=0.000807 two_zeros_ratio=0.000004
[layer_02.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_02.q] calls=141 zero_ratio=0.000807 two_zeros_ratio=0.000004
[layer_02.up] calls=141 zero_ratio=0.000737 two_zeros_ratio=0.000003
[layer_02.v] calls=141 zero_ratio=0.000807 two_zeros_ratio=0.000004
[layer_03.down] calls=141 zero_ratio=0.497707 two_zeros_ratio=0.681906
[layer_03.gate] calls=141 zero_ratio=0.000698 two_zeros_ratio=0.000003
[layer_03.k] calls=141 zero_ratio=0.000890 two_zeros_ratio=0.000005
[layer_03.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_03.q] calls=141 zero_ratio=0.000890 two_zeros_ratio=0.000005
[layer_03.up] calls=141 zero_ratio=0.000698 two_zeros_ratio=0.000003
[layer_03.v] calls=141 zero_ratio=0.000890 two_zeros_ratio=0.000005
[layer_04.down] calls=141 zero_ratio=0.495984 two_zeros_ratio=0.678106
[layer_04.gate] calls=141 zero_ratio=0.000709 two_zeros_ratio=0.000003
[layer_04.k] calls=141 zero_ratio=0.000926 two_zeros_ratio=0.000005
[layer_04.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_04.q] calls=141 zero_ratio=0.000926 two_zeros_ratio=0.000005
[layer_04.up] calls=141 zero_ratio=0.000709 two_zeros_ratio=0.000003
[layer_04.v] calls=141 zero_ratio=0.000926 two_zeros_ratio=0.000005
[layer_05.down] calls=141 zero_ratio=0.492030 two_zeros_ratio=0.671951
[layer_05.gate] calls=141 zero_ratio=0.000708 two_zeros_ratio=0.000003
[layer_05.k] calls=141 zero_ratio=0.000990 two_zeros_ratio=0.000006
[layer_05.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_05.q] calls=141 zero_ratio=0.000990 two_zeros_ratio=0.000006
[layer_05.up] calls=141 zero_ratio=0.000708 two_zeros_ratio=0.000003
[layer_05.v] calls=141 zero_ratio=0.000990 two_zeros_ratio=0.000006
[layer_06.down] calls=141 zero_ratio=0.486317 two_zeros_ratio=0.664058
[layer_06.gate] calls=141 zero_ratio=0.000684 two_zeros_ratio=0.000003
[layer_06.k] calls=141 zero_ratio=0.001059 two_zeros_ratio=0.000007
[layer_06.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_06.q] calls=141 zero_ratio=0.001059 two_zeros_ratio=0.000007
[layer_06.up] calls=141 zero_ratio=0.000684 two_zeros_ratio=0.000003
[layer_06.v] calls=141 zero_ratio=0.001059 two_zeros_ratio=0.000007
[layer_07.down] calls=141 zero_ratio=0.484317 two_zeros_ratio=0.661123
[layer_07.gate] calls=141 zero_ratio=0.000724 two_zeros_ratio=0.000003
[layer_07.k] calls=141 zero_ratio=0.001043 two_zeros_ratio=0.000006
[layer_07.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_07.q] calls=141 zero_ratio=0.001043 two_zeros_ratio=0.000006
[layer_07.up] calls=141 zero_ratio=0.000724 two_zeros_ratio=0.000003
[layer_07.v] calls=141 zero_ratio=0.001043 two_zeros_ratio=0.000006
[layer_08.down] calls=141 zero_ratio=0.479961 two_zeros_ratio=0.654359
[layer_08.gate] calls=141 zero_ratio=0.000685 two_zeros_ratio=0.000003
[layer_08.k] calls=141 zero_ratio=0.001026 two_zeros_ratio=0.000006
[layer_08.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_08.q] calls=141 zero_ratio=0.001026 two_zeros_ratio=0.000006
[layer_08.up] calls=141 zero_ratio=0.000685 two_zeros_ratio=0.000003
[layer_08.v] calls=141 zero_ratio=0.001026 two_zeros_ratio=0.000006
[layer_09.down] calls=141 zero_ratio=0.485596 two_zeros_ratio=0.663016
[layer_09.gate] calls=141 zero_ratio=0.000687 two_zeros_ratio=0.000003
[layer_09.k] calls=141 zero_ratio=0.001021 two_zeros_ratio=0.000006
[layer_09.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_09.q] calls=141 zero_ratio=0.001021 two_zeros_ratio=0.000006
[layer_09.up] calls=141 zero_ratio=0.000687 two_zeros_ratio=0.000003
[layer_09.v] calls=141 zero_ratio=0.001021 two_zeros_ratio=0.000006
[layer_10.down] calls=141 zero_ratio=0.479149 two_zeros_ratio=0.652890
[layer_10.gate] calls=141 zero_ratio=0.000657 two_zeros_ratio=0.000003
[layer_10.k] calls=141 zero_ratio=0.001006 two_zeros_ratio=0.000006
[layer_10.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_10.q] calls=141 zero_ratio=0.001006 two_zeros_ratio=0.000006
[layer_10.up] calls=141 zero_ratio=0.000657 two_zeros_ratio=0.000003
[layer_10.v] calls=141 zero_ratio=0.001006 two_zeros_ratio=0.000006
[layer_11.down] calls=141 zero_ratio=0.481772 two_zeros_ratio=0.656916
[layer_11.gate] calls=141 zero_ratio=0.000613 two_zeros_ratio=0.000002
[layer_11.k] calls=141 zero_ratio=0.000987 two_zeros_ratio=0.000006
[layer_11.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_11.q] calls=141 zero_ratio=0.000987 two_zeros_ratio=0.000006
[layer_11.up] calls=141 zero_ratio=0.000613 two_zeros_ratio=0.000002
[layer_11.v] calls=141 zero_ratio=0.000987 two_zeros_ratio=0.000006
[layer_12.down] calls=141 zero_ratio=0.481049 two_zeros_ratio=0.657204
[layer_12.gate] calls=141 zero_ratio=0.000691 two_zeros_ratio=0.000003
[layer_12.k] calls=141 zero_ratio=0.000969 two_zeros_ratio=0.000006
[layer_12.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
